Ph.D.	PHD
Hon.	honorable
Mt.	Mount
Maj.	Major
Rev.	Reverend
Gov.	governor
Bldg.	Building
Apt.	Apartment
World War II.	World War two
World War II	World War two
World War I.	World War one
World War I	World War one
SnO2	tin four oxide
HVAC	H-vac
SPDR	spider
ZIP	zip
~	approximately
κ	kappa
ω	omega
α	alpha
ν	nu
δ	delta
Δ	delta
Α	alpha
β	beta
Β	beta
χ	chi
Χ	chi
ε	epsilon
Ε	epsilon
φ	phi
Φ	phi
γ	gamma
Γ	gamma
η	eta
Η	eta
ι	iota
Ι	iota
κ	kappa
Κ	kappa
λ	lambda
Λ	lambda
μ	mu
Μ	mu
ν	nu
Ν	nu
ο	omicron
Ο	omicron
π	pi
Π	pi
θ	theta
Θ	theta
ρ	rho
Ρ	rho
σ	sigma
Σ	sigma
τ	tau
Τ	tau
υ	upsilon
Υ	upsilon
ω	omega
Ω	omega
ξ	xi
Ξ	xi
ψ	psi
Ψ	psi
ζ	zeta
Ζ	zeta
A. D	AD
A.D	AD
B. C	BC
B.C	BC
A. D.	AD
A.D.	AD
B. C.	BC
B.C.	BC
A. A.	a a
A.A.	AA
A&A	A and A
AAAs	AAA's
AaB	AAB
Aabo	AABO
AACNo	AACNO
AADTs	AADT's
Aadu	AADU
AAFld	AAFLD
Aap	AAP
A. B.	AB
A.B.	AB
Abhi	ABHI
Abl	ABL
Abp	ABP
Abr	ABR
Abz	ABZ
A&C	A and C
A. C.	AC
A.C.	AC
A/C	AC
Acad	ACAD
ACC&S	ACC and S
Achs	ACH's
Acis	ACI's
ACMs	ACM's
AcpA	ACPA
AcpB	ACPB
A&CR	A and CR
AcSOC	ACSOC
AC&W	AC and W
Acy	ACY
A&D	A and D
Adab	ADAB
A. D.	AD
A.D.	AD
A.D.A.M.	adam
AdaSL	ADASL
AdC	ADC
ADCs	ADC's
AD&D	AD and D
AdK	ADK
Adl	ADL
ADLs	ADL's
Adm	ADM
ADNs	ADN's
AdP	ADP
ADRs	ADR's
ADSRs	ADSR's
ADSs	ADS's
Adwa	ADWA
A&E	A and E
A. E.	AE
A.E.	AE
Aed	AED
Aeka	AEKA
Aema	AEMA
AEre	AERE
AErn	AERN
Aert	AERT
Aes	AE's
Afa	AFA
Af	AF
A. F.	AF
A.F.	AF
Afaf	AFAF
AFCSThe	AFCSTHE
Afd	AFD
AfD	AFD
AfDB	AFDB
Afe	AFE
Aff	AFF
Afi	AFI
Afiq	AFIQ
AFMs	AFM's
AfNS	AFNS
Afo	AFO
Afr	AFR
A. G.	AG
A.G.	AG
Agco	AGCO
Agda	AGDA
AG&G	AG and G
Agi	AGI
Agis	AGI's
Agn	AGN
AgN	AGN
AGNs	AGN's
AGRs	AGR's
Agsu	AGSU
Agte	AGTE
Agu	AGU
A. H.	AH
A.H.	AH
Ahdhra	AHDHRA
Ahe	AHE
Ahirs	AHIR's
Ahk	AHK
Ahsa'i	AHSAI
Ahta	AHTA
Ahu	AHU
Ahva	AHVA
A&I	A and I
A. I.	AI
A.I.	AI
Aias	AIA's
Aicme	AICME
AICs	AIC's
Aiel	AIEL
Aife	AIFE
AiG	AIG
Aigis	AIGI's
Aija	AIJA
Aik	AIK
AIs	AI's
Aist	AIST
Aitu	AITU
Aiud	AIUD
A. J.	AJ
A.J.	AJ
Ajba	AJBA
Ajmi	AJMI
Ajok	AJOK
Ajsa	AJSA
Aju	AJU
Akaa	AKAA
Aka.	AKA
Aka	AKA
A&K	A and K
A. K.	AK
A.K.	AK
AKAPs	AKAP's
AKAs	AKA's
Akpa	AKPA
Aku	AKU
A&L	A and L
A. L.	AL
A.L.	AL
Alh	ALH
ALUs	ALU's
A'ma	AMA
A&M	A and M
A. M.	AM
A.M.	AM
AMAs	AMA's
Amb	AMB
AmBX	AMBX
AMCs	AMC's
Amda	AMDA
Amd	AMD
AM&FM	AM and FM
Amha	AMHA
Amli	AMLI
Amlwch	AMLWCH
Amm	AMM
AM&O	AM and O
Ampt	AMPT
A&M's	A and M's
Ams'	AM's
Amta	AMTA
Amt	AMT
Amts	AMT's
Amu	AMU
A. N.	AN
A.N.	AN
andFHL	ANDFHL
andPPP	ANDPPP
Anej	ANEJ
Angti	ANGTI
Angu	ANGU
Anhe	ANHE
Anr	ANR
Anrep	ANREP
A&O	A and O
A. O.	AO
A.O.	AO
AOCCs	AOCC's
Aodh	AODH
Aodla	AODLA
Aogo	AOGO
Aoke	AOKE
Aoko	AOKO
Aola	AOLA
Aol	AOL
Aone	AONE
Aoni	AONI
Aoos	AOO's
AORs	AOR's
AoS	AOS
Aotus	AOTU's
A&P	A and P
A. P.	AP
A.P.	AP
Apc	APC
APCh	APCH
APCs	APC's
Aph	APH
Apiao	APIAO
Api	API
APi	API
Apic	APIC
APICv	APICV
Apl	APL
Aplu	APLU
Apphttp	APPHTTP
Appl	APPL
Appts	APPT's
Appu	APPU
A&P's	A and P's
Aps	AP's
APs	AP's
AP&T	AP and T
Aqa	AQA
Aql	AQL
Aqr	AQR
A&R	A and R
A. R.	AR
A.R.	AR
ArgR	ARGR
ARGs	ARG's
ArH	ARH
ARMv	ARMV
Arnd	ARND
Arv	ARV
Arwi	ARWI
As'ad	ASAD
Asai	ASAI
Asao	ASAO
A.s	A's
A. S.	AS
A.S.	AS
Asasp	ASASP
Asci	ASCI
Asdis	ASDI's
Asfi	ASFI
Asn	ASN
Aso	ASO
Aspe	ASPE
Asr	ASR
Assn	ASSN
Assoc	ASSOC
ASSPs	ASSP's
Asst	ASST
Aste	ASTE
Astt	ASTT
Aswa	ASWA
A&T	A and T
Atac	ATAC
Atad	ATAD
Ata's	ATA's
Atas	ATA's
A. T.	AT
A.T.	AT
ATBs	ATB's
Atg	ATG
Ath	ATH
Atia's	ATIA's
Ati	ATI
ATi	ATI
Atid	ATID
Atiiq	ATIIQ
Atil	ATIL
Atiq	ATIQ
Ativ	ATIV
Atka	ATKA
Atl	ATL
Atli	ATLI
Atm	ATM
ATMs	ATM's
Atos	ATO's
ATOs	ATO's
atpB	ATPB
Atri	ATRI
A&T's	A and T's
A.T.s	AT's
AT&SF	AT and SF
AT&T	AT and T
AT&T's	AT and T's
ATVs	ATV's
AtxA	ATXA
A. U.	AU
A.U.	AU
Aub	AUB
Aubl	AUBL
AUVs	AUV's
Auw	AUW
A. V.	AV
A.V.	AV
AVCs	AVC's
Avn	AVN
Avo	AVO
AvP	AVP
AVRs	AVR's
Avs'	AV's
Avs	AV's
Awa	AWA
AWAs	AWA's
A. W.	AW
A.W.	AW
Awo	AWO
Awwa	AWWA
A. X.	AX
A. Y.	AY
A.Y.	AY
A. Z.	AZ
A.Z.	AZ
Azg	AZG
Azi	AZI
AzTV	AZTV
Baad	BAAD
Ba'al	BAAL
Baal	BAAL
Baam	BAAM
Baap	BAAP
Baat	BAAT
Ba'ath	BAATH
B. A.	BA
B.A.	BA
B&A	B and A
Bac	BAC
Bae	BAE
BAe	BAE
Bauw	BAUW
B'Av	BAV
B&B	B and B
B. B.	BB
B.B.	BB
BB&CI	BB and CI
BBC&PJR	BBC and PJR
BBQ'er	BBQER
B&Bs	B and B's
BB&S	BB and S
BBSes	BBSE's
BB&T	BB and T
BbvCI	BBVCI
B. C.	BC
B.C.	BC
Bcci	BCCI
B.C.'s	BC's
BCs	BC's
BCSic	BCSIC
BdA	BDA
B. D.	BD
B.D.	BD
Bde	BDE
BdU	BDU
B. E.	BE
B.E.	BE
Bedw	BEDW
Bei	BEI
Beih	BEIH
Beis	BEI's
BEMs	BEM's
Ber	BER
Bes	BE's
B. F.	BF
B.F.	BF
BFFs	BFF's
B. G.	BG
B.G.	BG
BglII	BGLII
Bgy	BGY
Bha	BHA
B&H	B and H
B. H.	BH
B.H.	BH
BH&E	BH and E
Bhe	BHE
BHMs	BHM's
B. I.	BI
B.I.	BI
Bie	BIE
Biem	BIEM
B.I.G.'s	BIG's
BiH	BIH
B. J.	BJ
B.J.	BJ
BJPs	BJP's
B.J.'s	BJ's
B&K	B and K
B. K.	BK
B.K.	BK
BKCa	BKCA
B. L.	BL
B.L.	BL
Blla	BLLA
BLR&D	BLR and D
BLTs	BLT's
B&M	B and M
B. M.	BM
B.M.	BM
BMPs	BMP's
BMRs	BMR's
B&N	B and N
B. N.	BN
B.N.	BN
Boac	BOAC
B&O	B and O
B. O.	BO
B.O.	BO
Boc	BOC
BoC	BOC
BOCs	BOC's
Boj	BOJ
B&O's	B and O's
B. P.	BP
B.P.	BP
B&Q	B and Q
B. Q.	BQ
Brbic	BRBIC
B. R.	BR
B.R.	BR
BRBs	BRB's
Brne	BRNE
Brno	BRNO
BRTs	BRT's
Brza	BRZA
Brzyk	BRZYK
BsaL	BSAL
B. s	B's
B.'s	B's
Bs	B's
B. S.	BS
B.S.	BS
B. T.	BT
B.T.	BT
Btry	BTRY
BTUs	BTU's
B.U.	BU
B. V.	BV
B.V.	BV
Bwa	BWA
B&W	B and W
B. W.	BW
B.W.	BW
BWTs	BWT's
Bxa	BXA
Bxe	BXE
B. Y.	BY
Byk	BYK
Byo	BYO
Byou	BYOU
Byrl	BYRL
bySLC	BYSLC
B.Z.	BZ
Bzik	BZIK
Bzyb	BZYB
Caat	CAAT
C. A.	CA
C.A.	CA
C&A	C and A
CA&CC	CA and CC
Cadw	CADW
Cae	CAE
C.A.M.'s	CAM's
Capt.	captain
Cas	CA's
Casc	CASC
C. B.	CB
C.B.	CB
CB&CNS	CB and CNS
CBDs	CBD's
CBGBs	CBGB's
CbiXS	CBIXS
CB&Q	CB and Q
CBs	CB's
CcaA	CCAA
Cca	CCA
C&C	C and C
C. C.	CC
C.C.	CC
CCDev	CCDEV
CCDs	CCD's
CCEd	CCED
CCi	CCI
CCRCs	CCRC's
C&D	C and D
C. D.	CD
C.D.	CD
CD&DR	CD and DR
CDi	CDI
cDNA	CDNA
cDNAs	CDNA's
CDOs	CDO's
CDPs	CDP's
CD&R	CD and R
CDs	CD's
CDSPCo	CDSPCO
CdtA	CDTA
CdTe	CDTE
CDTi	CDTI
CD&V	CD and V
Cec	CEC
C'e	CE
Ce	CE
C. E.	CE
C.E.	CE
Ceel	CEEL
Cefn	CEFN
C&EI's	C and EI's
C&EN	C and EN
Cen	CEN
Ceol	CEOL
Ceorl	CEORL
Ceos	CEO's
CEOs'	CEO's
CEOs	CEO's
Cer	CER
Ces	CE's
Cex	CEX
CeX	CEX
Cfa	CFA
C&F	C and F
C. F.	CF
C.F.	CF
CFOs	CFO's
CFTs	CFT's
C&G	C and G
C. G.	CG
C.G.	CG
C&H	C and H
C. H.	CH
C.H.	CH
Chhu	CHHU
Chirs	CHIR's
CHP'den	CHPDEN
CHPs	CHP's
Chy	CHY
Cia	CIA
Ci	CI
C. I.	CI
C.I.	CI
Cicic	CICIC
Cim	CIM
Cio	CIO
CIOs	CIO's
Cip	CIP
CIs	CI's
CiTD	CITD
citS	CITS
CitX	CITX
Ciuc	CIUC
Ciu	CIU
CiU	CIU
Cixi	CIXI
C. J.	CJ
C.J.	CJ
C. K.	CK
C.K.	CK
CLBs	CLB's
C. L.	CL
C.L.	CL
Cle	CLE
CL&N	CL and N
Clo	CLO
CL&P	CL and P
CLs	CL's
CLTs	CLT's
Clu	CLU
Clwyd	CLWYD
C&MA	C and MA
C. M.	CM
C.M.	CM
CMCs	CMC's
Cmde	CMDE
CMMs	CMM's
Cmte	CMTE
C. N.	CN
C.N.	CN
CNMs	CNM's
CNs	CN's
CNTs	CNT's
Cnut's	CNUT's
CNVs	CNV's
C&O	C and O
C. O.	CO
C.O.	CO
Co.	company
Col.	colonel
C&P	C and P
C. P.	CP
C.P.	CP
CPCs	CPC's
CPUs	CPU's
CQDs	CQD's
C. R.	CR
C.R.	CR
Cre	CRE
Crkva	CRKVA
CRLs	CRL's
Crne	CRNE
Crni	CRNI
Crno	CRNO
CRs	CR's
Csa	CSA
Csak	CSAK
Csaky	CSAKY
C&S	C and S
C.s	C's
Cs	C's
C. S.	CS
C.S.	CS
C&SF	C and SF
CsI	CSI
CSis	CSI's
CSIs	CSI's
CSOs	CSO's
cspA	CSPA
CSPs	CSP's
CSSNCs	CSSNC's
Csuz	CSUZ
CTAs	CTA's
C&T	C and T
CTLs	CTL's
Ctrip	CTRIP
C. U.	CU
Cuyp	CUYP
C&V	C and V
C. V.	CV
C.V.	CV
CVEs	CVE's
CVOs	CVO's
CVs	CV's
CVTs	CVT's
C. W.	CW
C.W.	CW
Cwej	CWEJ
Cwele	CWELE
C.X.	CX
C. Y.	CY
C.Y.	CY
Cyn	CYN
CyP	CYP
Cyrl	CYRL
Cys	CY's
C.Z.	CZ
Daai	DAAI
D. A.	DA
D.A.	DA
D&AD	D and AD
D.A.N.C.E.	dance
Dav	DAV
dBa	DBA
D. B.	DB
D.B.	DB
DCCs	DCC's
D&C	D and C
D. C.	DC
D.C.	DC
DCom	DCOM
D.C.'s	DC's
DCs	DC's
DCUs	DCU's
D&D	D and D
D. D.	DD
D.D.	DD
DDi	DDI
Ddoc	DDOC
Ddu	DDU
Deah	DEAH
D. E.	DE
D.E.	DE
Dei	DEI
DeI	DEI
Deijm	DEIJM
Deip	DEIP
Dez	DEZ
Dfa	DFA
DFCs	DFC's
D. F.	DF
D.F.	DF
DfE	DFE
DfES	DFES
DFPs	DFP's
DFs	DF's
D&G	D and G
D. G.	DG
D.G.	DG
Dha	DHA
DHBs	DHB's
D&H	D and H
D. H.	DH
D.H.	DH
d'HEC	DHEC
Dheku	DHEKU
Dhod	DHOD
Dhol	DHOL
Dhoo	DHOO
Dhor	DHOR
Dhou	DHOU
DHSs	DHS's
D.I.	DI
DiY	DIY
Diyn	DIYN
DIYs	DIY's
Djam	DJAM
D. J.	DJ
D.J.	DJ
DJ'ed	DJED
Djem	DJEM
Dji	DJI
Djo	DJO
D'Jok	DJOK
D.J.s	DJ's
DJs	DJ's
DjVu	DJVU
DjVus	DJVU's
D. K.	DK
D.K.	DK
D. L.	DL
D.L.	DL
DL&LR	DL and LR
DLLs	DLL's
DL&W	DL and W
D.M.C.'s	DMC's
D&M	D and M
D. M.	DM
D.M.	DM
DMed	DMED
DM&E	DM and E
DMs	DM's
DMUs	DMU's
Dna	DNA
DnA	DNA
DnaJ	DNAJ
D. N.	DN
D.N.	DN
Dnepr	DNEPR
Dnes	DNE's
DNFs	DNF's
DNSBLs	DNSBL's
D.O.A.'s	DOA's
Dod	DOD
DoD	DOD
D. O.	DO
D.O.	DO
D'oh	DOH
Dok	DOK
Domt	DOMT
Dop	DOP
dotCMS	DOTCMS
DotSVN	DOTSVN
Douw	DOUW
d'OZ	DOZ
Dozhd	DOZHD
D. P.	DP
D.P.	DP
DProf	DPROF
DPs	DP's
D.Q.	DQ
Dr.	doctor
D. R.	DR
D.R.	DR
Dri	DRI
DRIs	DRI's
Driu	DRIU
Driv	DRIV
Drnis	DRNI's
Dro	DRO
Drs.	doctors
Drska	DRSKA
DsbA	DSBA
DS&BB	DS and BB
dsDNA	DSDNA
Ds	D's
D. S.	DS
D.S.	DS
DSGi	DSGI
DSi	DSI
DSMs	DSM's
D&SNGRR	D and SNGRR
DTCs	DTC's
DTDs	DTD's
D. T.	DT
D.T.	DT
DT&E	DT and E
DT&I	DT and I
DTs	DT's
D.U.	DU
Dva	DVA
DVCs	DVC's
DVDs	DVD's
D. V.	DV
D.V.	DV
Dvin	DVIN
Dvir	DVIR
Dwa	DWA
D&W	D and W
D. W.	DW
D.W.	DW
Dwedw	DWEDW
Dwi	DWI
D.X.	DX
DXers	DXER's
Dydd	DYDD
Dy	DY
D. Y.	DY
Dzog	DZOG
Dzor	DZOR
Dzus	DZU's
E. A.	EA
E.A.	EA
EAMs	EAM's
Eas	EA's
Eav	EAV
E. B.	EB
E.B.	EB
Ebn	EBN
E&BR	E and BR
Ebru	EBRU
EBWs	EBW's
Eccl	ECCL
Ec	EC
E. C.	EC
E.C.	EC
Ece	ECE
Ecem	ECEM
ECNs	ECN's
ECP&DA's	ECP and DA's
eCRM	ECRM
ECVs	ECV's
E. D.	ED
E.D.	ED
Edh	EDH
EDMs	EDM's
Edmx	EDMX
Edn	EDN
Eds	ED's
Edw	EDW
Eeb	EEB
E. E.	EE
E.E.	EE
Eef	EEF
Eega	EEGA
Ees	EE's
Eeuw	EEUW
EEZs	EEZ's
Ef	EF
E. F.	EF
E.F.	EF
eFS	EFS
Efs	EF's
Efu	EFU
Egba	EGBA
EG&G	EG and G
Egi	EGI
E&GR	E and GR
Egyl	EGYL
EHAs	EHA's
E. H.	EH
E.H.	EH
Ehttp	EHTTP
EiCs	EIC's
E. I.	EI
E.I.	EI
eIF	EIF
Eitr	EITR
EITs	EIT's
EJBs	EJB's
E. J.	EJ
E.J.	EJ
E. K.	EK
E.K.	EK
Ekma	EKMA
Ekow	EKOW
Eks	EK's
E. L.	EL
E.L.	EL
ELTs	ELT's
ELUs	ELU's
Embd	EMBD
eMC	EMC
EMDs	EMD's
Emea	EMEA
E&M	E and M
E. M.	EM
E.M.	EM
Emge	EMGE
E&NA	E and NA
Enas	ENA's
EnBW	ENBW
EncFS	ENCFS
Encyc	ENCYC
E. N.	EN
E.N.	EN
Enes	ENE's
Engl	ENGL
Engr	ENGR
Eni	ENI
Enn	ENN
Ens	EN's
Enso	ENSO
ENTJs	ENTJ's
EoD	EOD
E. O.	EO
E.O.	EO
Eois	EOI's
Eole	EOLE
Eol	EOL
Eolss	EOLS's
Eom	EOM
Eora	EORA
Eorl	EORL
Eors	EOR's
E&P	E and P
Epe	EPE
Ep	EP
E. P.	EP
E.P.	EP
Eph	EPH
Ephs	EPH's
Epi	EPI
ePO	EPO
Epos	EPO's
E.P.s	EP's
Eq	EQ
E. R.	ER
E.R.	ER
ERJs	ERJ's
Eru	ERU
Eruv	ERUV
Erv	ERV
ES3	ES three
Esa	ESA
Esam	ESAM
Esa's	ESA's
Esat	ESAT
ESCs	ESC's
Esd	ESD
E. S.	ES
E.S.	ES
ESPNhttp	ESPNHTTP
Esq	ESQ
