Ph.D.	PHD
N.Y.	NY
N'Zif	NZIF
NZiK	NZIK
N'Zi	NZI
N.Z.	NZ
O. A.	OA
O.A.	OA
Oblt	OBLT
O.B.	OB
O. C.	OC
O.C.	OC
Octl	OCTL
O. D.	OD
O.E.	OE
O.F.	OF
O&G	O and G
O. G.	OG
O.G.	OG
O. H.	OH
O.H.	OH
O. I.	OI
O.I.	OI
O. J.	OJ
O.J.	OJ
OK'd	OKD
OKd	OKD
Oke	OKE
O&K	O and K
O. K.	OK
O.K.	OK
O. L.	OL
O.L.	OL
Olo	OLO
Olov	OLOV
OLs	OL's
O&MFL	O and MFL
OMGs	OMG's
O. M.	OM
O.M.	OM
OmOm	OMOM
Om's	OM's
O. N.	ON
O.N.	ON
O&O	O and O
O. O.	OO
O.O.	OO
Oop	OOP
Oo's	OO's
Ootw	OOTW
OPMs	OPM's
O. P.	OP
O.P.	OP
Opr	OPR
ORFs	ORF's
OR&N	OR and N
O. R.	OR
Osa	OSA
OSBs	OSB's
O. S.	OS
O.S.	OS
OSTs	OST's
O.T.	OT
OTs	OT's
Otu	OTU
O.U.	OU
Ovca	OVCA
Ovda	OVDA
Ovo	OVO
Ov	OV
O. V.	OV
O.V.	OV
OWCs	OWC's
O. W.	OW
O.W.	OW
P. A.	PA
P.A.	PA
pBCE	PBCE
P. B.	PB
P.B.	PB
PCBs	PCB's
PCDDs	PCDD's
PCeU	PCEU
PCIe	PCIE
PcoA	PCOA
P. C.	PC
P.C.	PC
PCRev	PCREV
P.C.s	PC's
pDAB	PDAB
PDAs	PDA's
PDBsum	PDBSUM
PDCs	PDC's
PD&D	PD and D
PDEs	PDE's
PDFs	PDF's
P&D	P and D
P. D.	PD
P.D.	PD
PDPs	PDP's
PDs	PD's
P.E.I.'s	PEI's
P. E.	PE
P.E.	PE
PFs	PF's
PFW&C	PFW and C
PGMs	PGM's
PG&N	PG and N
P&G	P and G
P. G.	PG
P.G.	PG
Phlo	PHLO
P&H	P and H
P. H.	PH
P.H.	PH
PHPs	PHP's
P&I	P and I
P. I.	PI
P.I.	PI
Piz	PIZ
P. J.	PJ
P.J.	PJ
PJs	PJ's
P. K.	PK
P.K.	PK
PLCs	PLC's
P. L.	PL
P.L.	PL
PMMoV	PMMOV
P. M.	PM
P.M.	PM
PMs	PM's
PNaCl	PNACL
Pnau	PNAU
PNEs	PNE's
PNETs	PNET's
PNNs	PNN's
PNoy	PNOY
P. N.	PN
P.N.	PN
P.O.D.'s	POD's
P&O	P and O
P. O.	PO
P.O.	PO
P.O.W.'s	POW's
P&PH	P and PH
PPi	PPI
P. P.	PP
P.P.	PP
PPVs	PPV's
PPy	PPY
P. R.	PR
P.R.	PR
P. s	P's
P.'s	P's
Ps	P's
P. S.	PS
P.S.	PS
PSSAs	PSSA's
pTA	PTA
PTAs	PTA's
Pte	PTE
PTEs	PTE's
Ptie	PTIE
PTLs	PTL's
Ptol	PTOL
P. T.	PT
P.T.	PT
PTTs	PTT's
P'Twa	PTWA
Puiu	PUIU
Pul	PUL
PVAs	PVA's
PvdA	PVDA
P. V.	PV
P.V.	PV
PVs	PV's
P&W	P and W
P. W.	PW
P.W.	PW
Pyi	PYI
Pyk	PYK
Pyl	PYL
PyL	PYL
P. Y.	PY
Pyu	PYU
Pyw	PYW
Pyx	PYX
P. Z.	PZ
Q. A.	QA
Q&A	Q and A
Q&A's	Q and A's
Q&As	Q and A's
QbA	QBA
Q.B.	QB
Q.C.	QC
Q. E.	QE
Q.H.	QH
Q.I.	QI
Q. J.	QJ
Q. N.	QN
QPOs	QPO's
Q.V.	QV
R. A.	RA
R.A.	RA
R&A	R and A
R&AW	R and AW
RbAg	RBAG
RBCs	RBC's
RBIs	RBI's
R&B	R and B
R. B.	RB
R.B.	RB
R&C	R and C
R. C.	RC
R.C.	RC
RCTs	RCT's
RdE	RDE
R&D	R and D
R. D.	RD
R.D.	RD
R.E.M.'s	REM's
REPLs	REPL's
R. E.	RE
R.E.	RE
R. F.	RF
R.F.	RF
R&G	R and G
R. G.	RG
R.G.	RG
RHIBs	RHIB's
Rhiw	RHIW
RhoG	RHOG
Rho's	RHO's
R. H.	RH
R.H.	RH
R&I	R and I
R. I.	RI
R.I.	RI
Riu	RIU
Rivu	RIVU
Rixt	RIXT
R. J.	RJ
R.J.	RJ
R. K.	RK
R.K.	RK
R. L.	RL
R.L.	RL
RMDs	RMD's
RMLs	RML's
R. M.	RM
R.M.	RM
RMSDs	RMSD's
RMs	RM's
RNAs	RNA's
Rnet	RNET
Rnic	RNIC
RNNs	RNN's
RNPs	RNP's
R. N.	RN
R.N.	RN
rOmpB	ROMPB
Rooi	ROOI
R. O.	RO
R.O.	RO
ROVs	ROV's
Roxb	ROXB
Roxx	ROXX
RP&C	RP and C
Rpe	RPE
RPGs	RPG's
R. P.	RP
R.P.	RP
RPs	RP's
R. Q.	RQ
R.Q.	RQ
Rreli	RRELI
rRNA	RRNA
rRNAs	RRNA's
R&R	R and R
R. R.	RR
R.R.	RR
Rsis	RSI's
RsmA	RSMA
RSpec	RSPEC
Rs	R's
R. S.	RS
R.S.	RS
RSu	RSU
RTCs	RTC's
RTEjr	RTEJR
RTeOR	RTEOR
RTOs	RTO's
rtPA	RTPA
R. T.	RT
R.T.	RT
RTVFBiH	RTVFBIH
Ruao	RUAO
Rukn	RUKN
Ruk	RUK
Rupf	RUPF
Rupr	RUPR
Rup	RUP
R. U.	RU
R.U.	RU
RutB	RUTB
Ruu	RUU
Ruwa	RUWA
Ruy	RUY
Ruyt	RUYT
Rvat	RVAT
Rvo	RVO
R. V.	RV
R.V.	RV
Rwa	RWA
RWEs	RWE's
R. W.	RW
R.W.	RW
Rxa	RXA
R. Z.	RZ
Sa'id	SAID
S. A.	SA
S.A.	SA
Saxl	SAXL
Sa'yo	SAYO
Sbai	SBAI
SBCs	SBC's
Sborz	SBORZ
S. B.	SB
S.B.	SB
Sbu	SBU
SCRs	SCR's
S. C.	SC
S.C.	SC
Scuf	SCUF
Scymn	SCYMN
SD&AE	SD and AE
Sdei	SDEI
Sde	SDE
SDG&E	SDG and E
S. D.	SD
S.D.	SD
SDSM&T's	SDSM and T's
Sejms	SEJM's
Sekl	SEKL
Sek	SEK
S. E.	SE
S.E.	SE
Ses	SE's
SEs	SE's
S.E.S.'s	SES's
Seyh	SEYH
Sfax	SFAX
SFFCo	SFFCO
S. F.	SF
S.F.	SF
S.F.'s	SF's
SG&A	SG and A
Sgip	SGIP
S. G.	SG
S.G.	SG
SGSNs	SGSN's
Sgt.	sergeant
S.H.I.E.L.D.'s	SHIELD's
Shma	SHMA
S. H.	SH
S.H.	SH
S. I.	SI
S.I.	SI
Sjon	SJON
S. J.	SJ
S.J.	SJ
S. K.	SK
S.K.	SK
S.L.A.A.'s	SLAA's
SLAs	SLA's
S&L	S and L
SLS&E	SLS and E
S. L.	SL
S.L.	SL
SMe	SME
SMEs	SME's
SmI	SMI
SMPSs	SMPS's
S&M	S and M
S. M.	SM
S.M.	SM
S.M.'s	SM's
SMs	SMS
Smyl	SMYL
SNESjr	SNESJR
SNPs	SNP's
SnSe	SNSE
S. N.	SN
S.N.	SN
S. O.	SO
S.O.	SO
Sos	SO's
Sovn	SOVN
Sov	SOV
S&P 500	S and P five  hundred
SPCAs	SPCA's
Spe	SPE
Spoa	SPOA
SpPIn	SPPIN
S&P	S and P
S. P.	SP
S.P.	SP
SPs	SP's
SPUs	SPU's
S. Q.	SQ
Sra	SRA
SRAs	SRA's
Srba	SRBA
Srbi	SRBI
SRBs	SRB's
SRGs	SRG's
Srhir	SRHIR
SRLGs	SRLG's
SRMs	SRM's
Srni	SRNI
S. R.	SR
S.R.	SR
Srul	SRUL
SSAs	SSA's
SSDs	SSD's
SSoSV	SSOSV
SSRIs	SSRI's
S&S	S and S
S. s	S's
Ss	S's
S. S.	SS
S.S.	SS
Ssu	SSU
Ssy	SSY
ST&AJ	ST and AJ
STDs	STD's
STGs	STG's
STIs	STI's
STi	STI
Stryj	STRYJ
S&T	S and T
STScI	STSCI
S. T.	ST
S.T.	ST
Suo	SUO
S. U.	SU
Susz	SUSZ
SUTs	SUT's
Suu	SUU
SUVs	SUV's
Suy	SUY
Svac	SVAC
Sve	SVE
SVMs	SVM's
S. V.	SV
S.V.	SV
SVTs	SVT's
Swe	SWE
SwRI	SWRI
S&W	S and W
S. W.	SW
S.W.	SW
S.X.	SX
SysML	SYSML
SysRq	SYSRQ
Sys	SY's
SysV	SYSV
S. Y.	SY
S.Y.	SY
SyT	SYT
Syxx	SYXX
Szasz	SZASZ
Szer	SZER
Szklo	SZKLO
Szlak	SZLAK
SzMME	SZMME
Szpir	SZPIR
S. Z.	SZ
Szu	SZU
Szyk	SZYK
Taf	TAF
T. A.	TA
T.A.	TA
T&A	T and A
TBCs	TBC's
TBMs	TBM's
T. B.	TB
T.B.	TB
TCiAP	TCIAP
TCKs	TCK's
T. C.	TC
T.C.	TC
TCUs	TCU's
TDCi	TDCI
TdIF	TDIF
TDs	TD's
T. D.	TD
T.D.	TD
Teatr	TEATR
T. E.	TE
T.E.	TE
T&F	T and F
T. F.	TF
T.F.	TF
T. G.	TG
T.G.	TG
TGVs	TGV's
Thok	THOK
ThSe	THSE
T. H.	TH
T.H.	TH
T.I.'s	TI's
T.I.	TI
Tiu	TIU
Tiv	TIV
Tiy's	TIY's
T. J.	TJ
T.J.	TJ
Tko	TKO
T. K.	TK
T.K.	TK
Tlas	TLA's
TlCu	TLCU
TLDs	TLD's
TLRs	TLR's
TLs	TL's
T. L.	TL
T.L.	TL
Tluk	TLUK
Tluszcz	TLUSZCZ
TMGs	TMG's
tmRNA	TMRNA
TMSs	TMS's
T.M.s	TM's
T. M.	TM
T.M.	TM
TNTAs	TNTA's
T. N.	TN
T.N.	TN
T.O.'s	TO's
T. O.	TO
T.O.	TO
Tou	TOU
ToU	TOU
tPA	TPA
T. P.	TP
T.P.	TP
TPVs	TPV's
T.Q.	TQ
Tra	TRA
Trbic	TRBIC
Trcek	TRCEK
TrkA	TRKA
Trmcic	TRMCIC
tRNA	TRNA
TRPs	TRP's
T. R.	TR
T.R.	TR
truTV	TRUTV
TruTV	TRUTV
Trve	TRVE
Tsa	TSA
Tsiv	TSIV
Tso	TSO
Ts	T's
T. S.	TS
T.S.	TS
Tsvi	TSVI
Tta	TTA
T&T	T and T
T. T.	TT
T.T.	TT
T'uqu	TUQU
T.U.	TU
Tuzk	TUZK
Tvam	TVAM
TVETs	TVET's
TVii	TVII
TVIn	TVIN
TVi	TVI
Tvo	TVO
TVRi	TVRI
TVSpy	TVSPY
TVs	TV's
tVTA	TVTA
T. V.	TV
T.V.	TV
Twa	TWA
Twi	TWI
TWTs	TWT's
T. W.	TW
T.W.	TW
TxDOT	TXDOT
T.X.	TX
Tyk	TYK
Tza'ar	TZAAR
Tze	TZE
Tzrif	TZRIF
Tzuh	TZUH
Tzvi	TZVI
Ua's	UA's
UAs	UA's
U.A.	UA
UAVs	UAV's
Uba	UBA
UbcM	UBCM
Ube	UBE
Ubi	UBI
Ucar	UCAR
Uca	UCA
Ucmak	UCMAK
Ucn	UCN
uCs	UC's
Uc	UC
U.C.	UC
Ucuncu	UCUNCU
Uczta	UCZTA
Uda	UDA
Udit	UDIT
Udny	UDNY
UDTs	UDT's
Ud	UD
U. D.	UD
Udu	UDU
Ueda's	UEDA's
Uéda	UE acute DA
U. E.	UE
UFOs	UFO's
Ufot	UFOT
Ufo	UFO
U. F.	UF
Uga	UGA
Uge	UGE
Ugni	UGNI
Ugra	UGRA
Ugrszke	UGRSZKE
Ug	UG
Uhha	UHHA
UHTCs	UHTC's
Uhud	UHUD
U.H.	UH
Uiam	UIAM
Uibh	UIBH
Uible	UIBLE
Uig	UIG
UiS	UIS
UiTM	UITM
Uit	UIT
Uiy	UIY
Ujed	UJED
Ujsag	UJSAG
U.J.	UJ
Uka	UKA
Ukhra	UKHRA
Ukic	UKIC
Uki	UKI
Ukoh	UKOH
Uko	UKO
Ukr	UKR
Ukui	UKUI
Uk	UK
U.K.	UK
Ukwu	UKWU
Ulic	ULIC
Ull	ULL
Ulms	ULM's
UlSU	ULSU
Uluj	ULUJ
U.L.	UL
Ulus	ULU's
Ulwa	ULWA
Ulwe	ULWE
Umbr	UMBR
UMe	UME
Umla	UMLA
Umme	UMME
Umno	UMNO
Umri	UMRI
U. M.	UM
U.M.	UM
Unli	UNLI
Unlu	UNLU
UNSh	UNSH
Unst	UNST
Uns	UN's
U.N.'s	UN's
Unt	UNT
U.N.	UN
Unz	UNZ
UOCl	UOCL
UofM	UOFM
Uoho	UOHO
UoMs	UOM's
uORF	UORF
UoW	UOW
UPBs	UPB's
Upd	UPD
Upf	UPF
Upir	UPIR
UPnP	UPNP
Uppu	UPPU
U.P.	UP
UPyD	UPYD
Urbz	URBZ
URCs	URC's
Urdd	URDD
Urei	UREI
Urla	URLA
URLhttp	URLHTTP
URLs	URL's
Usal	USAL
Usan	USAN
.USA	USA
USAya	USAYA
USBs	USB's
Uscie	USCIE
U.S.C.'s	USC's
USDoE	USDOE
USFbA	USFBA
USF&WS	USF and WS
UShs	USH's
Usia	USIA
Uslu	USLU
Usmar	USMAR
Usna	USNA
Usnic	USNIC
Usoi	USOI
Usos	USO's
Uso	USO
USPs	USP's
U.S.'s	US's
Usti	USTI
Ustka	USTKA
Usui	USUI
U. S.	US
U.S.	US
Usut	USUT
Usvit	USVIT
Uta's	UTA's
Uta	UTA
Utca	UTCA
Utd's	UTD's
Utd	UTD
Utes	UTE's
Uth	UTH
Uti	UTI
Utne	UTNE
Utnur	UTNUR
Uto	UTO
Utsav	UTSAV
Utsu	UTSU
U.T.	UT
Utu	UTU
Utva	UTVA
Uuh	UUH
Uul	UUL
Uulu	UULU
Uusi	UUSI
UUs	UU's
Uuto	UUTO
Uvac	UVAC
Uvea	UVEA
Uvo	UVO
U.V.	UV
Uwasa	UWASA
UWFi	UWFI
V. A.	VA
V.A.	VA
V&A	V and A
Vav	VAV
Vay	VAY
V. B.	VB
V.B.	VB
VCDs	VCD's
VCRs	VCR's
VCSELs	VCSEL's
VCs	VC's
VCTs	VCT's
V. C.	VC
V.C.	VC
Vda	VDA
VDCs	VDC's
V. D.	VD
V.D.	VD
Vez	VEZ
V. F.	VF
V.F.	VF
V'Ger	VGER
VGo	VGO
VGSCs	VGSC's
VGSoM	VGSOM
V. G.	VG
V.G.	VG
V. H.	VH
V.I.C.'s	VIC's
Vict	VICT
Vij	VIJ
V.I.P.s	VIP's
VIPs	VIP's
V. I.	VI
V.I.	VI
VJs	VJ's
V. J.	VJ
V.J.	VJ
V. K.	VK
V.K.	VK
Vlah	VLAH
VLCCs	VLCC's
Vlijt	VLIJT
V. L.	VL
V.L.	VL
VMAs	VMA's
V. M.	VM
V.M.	VM
V. N.	VN
V.N.	VN
V.O.	VO
Vov	VOV
Voz	VOZ
VPNs	VPN's
V. P.	VP
V.P.	VP
Vrba	VRBA
Vrbuv	VRBUV
Vrej	VREJ
Vrin	VRIN
Vrouw	VROUW
Vrsac	VRSAC
Vrtis	VRTI's
V&R	V and R
V. R.	VR
V.R.	VR
VSANs	VSAN's
VSATs	VSAT's
Vsekh	VSEKH
VSPs	VSP's
VTE	VT eL
Vtic	VTIC
VTi	VTI
V&T's	V and T's
V&T	V and T
V.T.	VT
Vuur	VUUR
VVIPs	VVIP's
V. V.	VV
V.V.	VV
VWs	VW's
Vyg	VYG
V. Z.	VZ
Waay	WAAY
Wa'il	WAIL
Wakf	WAKF
Waqt	WAQT
Wasl	WASL
Watfa	WATFA
Wau	WAU
W. A.	WA
W.A.	WA
Waza	WAZA
WBs	WB's
W. B.	WB
W.B.	WB
W&CBR	W and CBR
W. C.	WC
W.C.	WC
W. D.	WD
W.D.	WD
W. E.	WE
W.E.	WE
WF&NW	WF and NW
W&F	W and F
W. F.	WF
W.F.	WF
W. G.	WG
W.G.	WG
W&H	W and H
W. H.	WH
W.H.	WH
Whyld	WHYLD
Wica	WICA
Wif	WIF
Wijk	WIJK
Wiwa	WIWA
W. I.	WI
W&J's	W and J's
W&J	W and J
W. J.	WJ
W.J.	WJ
W. K.	WK
W.K.	WK
W&LE	W and LE
Wley	WLEY
W. L.	WL
W.L.	WL
W&M	W and M
W. M.	WM
W.M.	WM
W. N.	WN
W.N.	WN
W&OD	W and OD
Worh	WORH
W. O.	WO
W.O.	WO
W. P.	WP
W.P.	WP
Wrec	WREC
W. R.	WR
W.R.	WR
W. S.	WS
W.S.	WS
WTs	WT's
WTTs	WTT's
W. T.	WT
W.T.	WT
WUAs	WUA's
Wudl	WUDL
Wuhr	WUHR
Wuhu	WUHU
Wu's	WU's
W. U.	WU
Wuz	WUZ
WVa	WVA
W. V.	WV
W.V.	WV
Wwe	WWE
W. W.	WW
W.W.	WW
W.Y.	WY
W. Z.	WZ
Xbra	XBRA
xCo	XCO
X. C.	XC
XDRs	XDR's
X. D.	XD
Xfce	XFCE
X.F.	XF
X. H.	XH
X.M.	XM
xO	XO
X.O.	XO
XPe	XPE
X.Q.	XQ
XSi	XSI
XTwas	XTWA's
X. W.	XW
xyZ	XYZ
Y. A.	YA
Y.A.	YA
Y. B.	YB
Y.B.	YB
Y. C.	YC
Y.C.	YC
Ydby	YDBY
Yde	YDE
YdiB	YDIB
Y. D.	YD
Y.D.	YD
Y.E.	YE
YFCs	YFC's
YF&R	YF and R
Y. G.	YG
Y.G.	YG
Y. H.	YH
Y. I.	YI
Y.I.	YI
Y. J.	YJ
Ykt	YKT
Y. K.	YK
Y.K.	YK
Yle	YLE
Y. L.	YL
Ymke	YMKE
Y. M.	YM
Yndi	YNDI
Yngve	YNGVE
Ynis	YNI's
Yn	YN
Y. N.	YN
Y.N.	YN
Y.O.	YO
Y.P.	YP
Y. Q.	YQ
Yra	YRA
Y&R	Y and R
YSK'da	YSKDA
YSK'ya	YSKYA
Ys	Y's
Y.S.	YS
Ytre	YTRE
Y&T	Y and T
Y. T.	YT
Y.T.	YT
Y. V.	YV
Y. W.	YW
Y.Y.	YY
Z. A.	ZA
Z.A.	ZA
Zdar	ZDAR
Z.G.	ZG
Z. H.	ZH
Z.H.	ZH
Zij	ZIJ
Z. I.	ZI
Z. J.	ZJ
Z.K.	ZK
Z.L.	ZL
Z.M.	ZM
ZnO	ZNO
Zpav	ZPAV
Z.P.	ZP
ZrI	ZRI
Zsuzsa	ZSUZSA
Z.W.	ZW
Z.X.	ZX
Z. Y.	ZY
Z.Y.	ZY
Z. Z.	ZZ
Z.Z.	ZZ
here's	here is
you're	you are
i'm	i am
Here's	Here is
You're	You are
I'm	I am
